symbol,price,timestamp
eth_usd,267.52,1559347199348
btc_usd,8551.97,1559347200189
eth_usd,267.51,1559347200348
btc_usd,8551.13,1559347202198
btc_usd,8552.81,1559347203185
eth_usd,267.52,1559347203348
eth_usd,267.51,1559347205348
btc_usd,8551.94,1559347206185
eth_usd,267.53,1559347206348
btc_usd,8550.19,1559347207186
eth_usd,267.52,1559347208348
eth_usd,267.54,1559347209348
btc_usd,8549.79,1559347210186
eth_usd,267.51,1559347210348
btc_usd,8547.69,1559347211186
eth_usd,267.5,1559347211348
btc_usd,8546.81,1559347212186
eth_usd,267.51,1559347212348
btc_usd,8546.75,1559347215186
eth_usd,267.54,1559347216348
eth_usd,267.53,1559347217348
eth_usd,267.54,1559347218348
eth_usd,267.6,1559347219348
btc_usd,8548.19,1559347220186
eth_usd,267.62,1559347220347
btc_usd,8548.13,1559347221185
eth_usd,267.6,1559347221347
eth_usd,267.67,1559347222347
btc_usd,8546.13,1559347224186
eth_usd,267.66,1559347224348
eth_usd,267.67,1559347225348
eth_usd,267.68,1559347226348
eth_usd,267.67,1559347227348
btc_usd,8547.35,1559347229187
eth_usd,267.65,1559347229348
eth_usd,267.66,1559347231347
eth_usd,267.68,1559347232348
eth_usd,267.71,1559347233348
btc_usd,8547.91,1559347234186
eth_usd,267.73,1559347236348
eth_usd,267.72,1559347238348
btc_usd,8547.79,1559347239185
eth_usd,267.71,1559347240348
eth_usd,267.67,1559347241348
eth_usd,267.65,1559347242348
btc_usd,8547.35,1559347243186
eth_usd,267.64,1559347243348
eth_usd,267.65,1559347245346
eth_usd,267.63,1559347246348
btc_usd,8545.64,1559347247186
btc_usd,8545.7,1559347248185
btc_usd,8545.21,1559347249186
eth_usd,267.66,1559347249348
eth_usd,267.7,1559347250347
btc_usd,8545.19,1559347251186
eth_usd,267.68,1559347251347
eth_usd,267.69,1559347252348
eth_usd,267.66,1559347253348
eth_usd,267.65,1559347255348
btc_usd,8545.21,1559347256184
eth_usd,267.66,1559347256348
btc_usd,8545.15,1559347257185
eth_usd,267.68,1559347257348
eth_usd,267.73,1559347258348
eth_usd,267.71,1559347259348
btc_usd,8545.34,1559347261186
eth_usd,267.74,1559347261347
eth_usd,267.78,1559347262348
eth_usd,267.8,1559347263348
eth_usd,267.89,1559347264348
btc_usd,8547.04,1559347265186
btc_usd,8547.1,1559347266185
eth_usd,267.9,1559347267348
eth_usd,267.92,1559347268348
btc_usd,8547.16,1559347270186
eth_usd,267.93,1559347270348
eth_usd,267.95,1559347271348
eth_usd,268.04,1559347272348
eth_usd,268.08,1559347273348
btc_usd,8547.69,1559347274186
eth_usd,268.11,1559347274347
btc_usd,8547.75,1559347275185
eth_usd,268.12,1559347275348
eth_usd,268.14,1559347276348
eth_usd,268.2,1559347277348
btc_usd,8547.73,1559347278186
eth_usd,268.23,1559347278348
btc_usd,8547.91,1559347279186
eth_usd,268.24,1559347279348
eth_usd,268.2,1559347280347
eth_usd,268.25,1559347282348
btc_usd,8548.81,1559347283186
eth_usd,268.26,1559347284348
eth_usd,268.34,1559347286348
btc_usd,8548.84,1559347287186
eth_usd,268.4,1559347287348
btc_usd,8551.28,1559347288185
eth_usd,268.54,1559347291347
btc_usd,8551.3,1559347292186
eth_usd,268.56,1559347292348
btc_usd,8551.49,1559347293185
eth_usd,268.58,1559347293348
eth_usd,268.6,1559347295348
btc_usd,8551.61,1559347296186
eth_usd,268.63,1559347296348
btc_usd,8552.17,1559347297186
eth_usd,268.61,1559347297348
btc_usd,8552.79,1559347298186
btc_usd,8553.04,1559347299186
eth_usd,268.63,1559347300348
btc_usd,8552.39,1559347301186
btc_usd,8552.54,1559347302185
eth_usd,268.65,1559347302348
eth_usd,268.66,1559347303348
eth_usd,268.63,1559347304348
eth_usd,268.43,1559347305348
